LocationID,L_Region
FD1,Jefferson
FD4,Sartoris
FD34,Undefined
FD32,Jefferson
FD19,Jefferson
FD54,Jefferson
FD14,Jefferson
FD6,Jefferson
FD216,Sartoris
FD5,Jefferson
FD50,Jefferson
FD33,Jefferson
FD49,Jefferson
FD21,Frenchman Bend
FD37,Frenchman Bend
FD1146,Jefferson
FD58,Regional
FD110,Undefined
FD60,Memphis
FD62,Nation
FD207,Nation
FD396,Nation
FD55,World
FD35,Jefferson
FD48,Jefferson
FD729,Undefined
FD7,Jefferson
FD63,Frenchman Bend
FD36,Undefined
FD111,Sartoris
FD20,McCaslin
FD38,Undefined
FD51,Nation
FD57,Nation
FD101,Jefferson
FD103,World
FD171,Undefined
FD119,Regional
FD109,Nation
FD121,World
FD105,Jefferson
FD39,Jefferson
FD650,Sartoris
FD1149,McCaslin
FD1148,McCaslin
FD1150,McCaslin
FD1147,McCaslin
FD59,Regional
FD106,World
FD108,World
FD232,Jefferson
FD73,Jefferson
FD107,Regional
FD157,World
FD210,Frenchman Bend
FD113,World
FD114,World
FD115,World
FD116,World
FD117,Regional
FD118,Nation
FD824,Jefferson
FD575,Jefferson
RE83,Jefferson
RE29,Jefferson
RE54,Jefferson
RE73,Jefferson
RE81,Jefferson
RE82,Jefferson
SH43,Undefined
SH21,Frenchman Bend
SH487,Frenchman Bend
SH46,Frenchman Bend
SH85,Frenchman Bend
SH761,Frenchman Bend
SH25,Frenchman Bend
SH54,Jefferson
SH47,Frenchman Bend
SH63,Frenchman Bend
DS66,Jefferson
DS54,Jefferson
DS74,Jefferson
BB64,Frenchman Bend
BB90,Frenchman Bend
BB65,Undefined
BB52,Ikkemotubbe
BB53,Ikkemotubbe
BB76,Undefined
BB91,Ikkemotubbe
BB77,Undefined
BB92,Undefined
BB183,Frenchman Bend
BB488,Ikkemotubbe
DS67,Jefferson
DS194,Jefferson
DS69,Jefferson
DS70,Jefferson
DS87,Jefferson
DS75,Jefferson
BB164,Frenchman Bend
BB165,Frenchman Bend
RE84,Jefferson
TES9,Compson
TES95,Jefferson
TES168,Jefferson
TES196,Jefferson
W18,Big Bottom
W17,Sutpen
W100,Sutpen
TES54,Jefferson
TES170,Jefferson
PAN158,Undefined
PAN80,Undefined
PAN128,Undefined
PAN129,McCaslin
PAN133,Undefined
PAN172,Undefined
PAN134,Undefined
PAN135,Undefined
PAN130,McCaslin
PAN7,Jefferson
PAN136,Undefined
PAN131,McCaslin
PAN137,Jefferson
PAN138,Jefferson
TO171,Undefined
TO160,Undefined
TO21,Frenchman Bend
TO54,Jefferson
TO191,Jefferson
TO187,Jefferson
TO159,Undefined
SL123,Frenchman Bend
SL124,Frenchman Bend
SL126,Frenchman Bend
SL125,Frenchman Bend
SL54,Jefferson
TO193,Undefined
TO186,Frenchman Bend
TO161,Frenchman Bend
TO501,Undefined
TO127,Frenchman Bend
RL154,Ikkemotubbe
RL157,World
RL155,Ikkemotubbe
RL156,Ikkemotubbe
RL460,Undefined
RL184,Ikkemotubbe
RL185,Undefined
RL469,Nation
RL141,Ikkemotubbe
RL145,Ikkemotubbe
RL146,Regional
RL148,Regional
SL25,Frenchman Bend
RL151,World
RL152,Ikkemotubbe
AMB173,Undefined
AMB4,Sartoris
AMB178,Sartoris
AMB174,Sartoris
AMB175,Sartoris
AMB651,Sartoris
AMB650,Sartoris
AMB179,Undefined
AMB182,Sartoris
AMB176,Undefined
AMB177,Sartoris
